epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0657,1.39859,3.12761,1.32715,0.009,0.96429,0.01155,0.00688,1.05377,3.32357,1.32912,0.000333333,0.000333333,0.000333333
2,23.9768,1.28641,2.53676,1.14083,0.00933,1,0.85423,0.47763,1.02776,2.94937,1.02995,0.0009802,0.0009802,0.0009802
3,33.9314,1.45316,1.70858,1.2694,0.00933,1,0.85423,0.47763,1.02776,2.94937,1.02995,0.00160067,0.00160067,0.00160067
4,43.7879,1.33707,4.55587,1.27602,0.71565,0.57143,0.70636,0.24841,1.27892,2.62905,1.32272,0.0018812,0.0018812,0.0018812
5,53.5371,1.38239,5.48853,1.3719,0.71565,0.57143,0.70636,0.24841,1.27892,2.62905,1.32272,0.0018416,0.0018416,0.0018416
6,63.2448,1.58076,4.96521,1.48019,0.68397,0.69598,0.68211,0.15812,1.45229,2.67313,1.66991,0.001802,0.001802,0.001802
7,73.0469,1.79622,3.69049,1.60645,0.68397,0.69598,0.68211,0.15812,1.45229,2.67313,1.66991,0.0017624,0.0017624,0.0017624
8,87.0112,1.6671,2.6484,1.43177,0.25821,0.14286,0.08458,0.01248,1.74756,3.70737,2.30636,0.0017228,0.0017228,0.0017228
9,96.6481,1.61948,2.20909,1.43961,0.25821,0.14286,0.08458,0.01248,1.74756,3.70737,2.30636,0.0016832,0.0016832,0.0016832
10,141.587,1.62524,2.19109,1.51203,0.17577,0.17857,0.09751,0.02102,1.39714,3.40397,1.53789,0.0016436,0.0016436,0.0016436
11,152.018,1.60548,2.04731,1.40132,0.17577,0.17857,0.09751,0.02102,1.39714,3.40397,1.53789,0.001604,0.001604,0.001604
12,161.473,1.4514,1.69975,1.35154,0.00733,0.78571,0.00581,0.00325,1.4685,3.85889,1.95265,0.0015644,0.0015644,0.0015644
13,171.383,1.50412,2.41959,1.51769,0.00733,0.78571,0.00581,0.00325,1.4685,3.85889,1.95265,0.0015248,0.0015248,0.0015248
14,180.987,1.24579,1.56371,1.22696,0.00133,0.14286,0.0002,9e-05,1.64683,5.37726,2.08479,0.0014852,0.0014852,0.0014852
15,190.169,1.18306,1.58272,1.23105,0.00133,0.14286,0.0002,9e-05,1.64683,5.37726,2.08479,0.0014456,0.0014456,0.0014456
16,199.579,1.1724,1.56355,1.18833,0.08584,0.14286,0.05276,0.00871,2.4767,8.34497,4.63492,0.001406,0.001406,0.001406
17,208.61,1.22733,1.5113,1.24763,0.08584,0.14286,0.05276,0.00871,2.4767,8.34497,4.63492,0.0013664,0.0013664,0.0013664
18,217.849,1.22295,1.35483,1.26059,0.39788,0.64286,0.42575,0.10918,1.2844,4.74673,2.12795,0.0013268,0.0013268,0.0013268
19,226.654,1.15629,1.26764,1.23647,0.39788,0.64286,0.42575,0.10918,1.2844,4.74673,2.12795,0.0012872,0.0012872,0.0012872
20,236.087,1.21378,1.47741,1.3003,0.60684,0.67857,0.67155,0.18224,1.15094,2.98842,1.74132,0.0012476,0.0012476,0.0012476
21,245.673,1.11824,1.24989,1.2279,0.60684,0.67857,0.67155,0.18224,1.15094,2.98842,1.74132,0.001208,0.001208,0.001208
22,255.424,1.11734,1.18198,1.16527,0.76183,0.57119,0.64491,0.14926,1.04505,2.75105,1.3701,0.0011684,0.0011684,0.0011684
23,264.948,1.20613,1.26407,1.25111,0.76183,0.57119,0.64491,0.14926,1.04505,2.75105,1.3701,0.0011288,0.0011288,0.0011288
24,274.21,1.12505,1.19472,1.19678,0.69284,0.64286,0.59431,0.14869,1.06179,2.67431,1.30983,0.0010892,0.0010892,0.0010892
25,283.736,1.08054,1.14542,1.23084,0.69284,0.64286,0.59431,0.14869,1.06179,2.67431,1.30983,0.0010496,0.0010496,0.0010496
26,293.322,1.14566,1.14725,1.21133,0.77806,0.64286,0.70593,0.20132,1.05907,2.4815,1.26653,0.00101,0.00101,0.00101
27,302.841,1.04175,1.10644,1.20676,0.77806,0.64286,0.70593,0.20132,1.05907,2.4815,1.26653,0.0009704,0.0009704,0.0009704
28,312.202,1.04998,1.07126,1.16064,0.77688,0.67857,0.77002,0.2763,1.05704,2.32244,1.24097,0.0009308,0.0009308,0.0009308
29,323.431,1.12483,1.15069,1.23843,0.77688,0.67857,0.77002,0.2763,1.05704,2.32244,1.24097,0.0008912,0.0008912,0.0008912
30,333.167,1.07541,1.16242,1.25749,0.89256,0.67857,0.83701,0.37082,1.00111,2.21353,1.15155,0.0008516,0.0008516,0.0008516
31,342.706,1.02287,1.18935,1.21658,0.89256,0.67857,0.83701,0.37082,1.00111,2.21353,1.15155,0.000812,0.000812,0.000812
32,352.64,0.98821,1.07499,1.15055,0.67872,0.7546,0.80911,0.43614,1.02731,2.09354,1.16206,0.0007724,0.0007724,0.0007724
33,362.209,0.9717,1.07528,1.14685,0.67872,0.7546,0.80911,0.43614,1.02731,2.09354,1.16206,0.0007328,0.0007328,0.0007328
34,371.757,0.95738,1.07849,1.13777,0.73752,0.75,0.7924,0.55441,0.90791,1.95797,1.09732,0.0006932,0.0006932,0.0006932
35,381.261,0.94657,1.09122,1.1266,0.73752,0.75,0.7924,0.55441,0.90791,1.95797,1.09732,0.0006536,0.0006536,0.0006536
36,390.845,0.94922,1.0125,1.08677,0.87824,0.78571,0.87272,0.65889,0.87645,1.80702,1.06963,0.000614,0.000614,0.000614
