epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.674,1.10983,1.90536,1.1505,0.92647,0.82434,0.93175,0.46754,1.47919,1.61586,1.12731,0.000611111,0.000611111,0.000611111
2,197.204,0.98138,0.90834,1.06929,0.87909,0.81776,0.90454,0.44904,1.65759,1.42023,1.20077,0.00119344,0.00119344,0.00119344
3,336.159,0.93102,0.83469,1.01963,0.88473,0.75318,0.82351,0.38129,1.934,1.92472,1.34151,0.00168778,0.00168778,0.00168778
4,551.847,1.00677,0.83252,1.04379,0.93768,0.70311,0.84054,0.558,1.07617,1.46652,1.0058,0.001604,0.001604,0.001604
5,736.439,0.89031,0.7956,1.03311,0.36157,0.71495,0.36442,0.25258,1.04818,1.44982,1.01187,0.001472,0.001472,0.001472
6,846.737,0.81721,0.72392,0.96325,0.18984,0.91977,0.18259,0.11363,1.31778,3.87953,1.20358,0.00134,0.00134,0.00134
7,999.696,0.7573,0.68509,0.93777,0.32459,0.81308,0.30975,0.25354,0.85353,1.35796,1.04576,0.001208,0.001208,0.001208
8,1133.75,0.72158,0.66596,0.91628,0.84461,0.91435,0.8702,0.60868,1.07455,1.06618,1.04827,0.001076,0.001076,0.001076
9,1272.13,0.73631,0.63065,0.92605,0.9808,0.95488,0.97596,0.80887,0.79805,0.92827,0.97271,0.000944,0.000944,0.000944
10,1403.22,0.74355,0.61108,0.92762,0.99516,0.96092,0.98071,0.7229,1.16279,0.94338,1.10402,0.000812,0.000812,0.000812
11,1567.48,0.74682,0.60714,0.93485,0.98949,0.96262,0.98156,0.75409,0.92138,0.81807,1.00682,0.00068,0.00068,0.00068
12,1700.33,0.69482,0.57995,0.9206,0.99043,0.96721,0.98486,0.77302,0.92798,0.76863,0.97736,0.000548,0.000548,0.000548
13,1828.63,0.7057,0.57119,0.92366,0.99519,0.96678,0.98538,0.72922,1.21294,0.86253,1.07797,0.000416,0.000416,0.000416
14,1957.34,0.63262,0.55785,0.89947,0.98955,0.97196,0.98772,0.80897,0.88097,0.73587,0.95589,0.000284,0.000284,0.000284
15,2088.63,0.62778,0.52505,0.89882,0.99521,0.97046,0.98292,0.78123,0.9302,0.71063,0.96794,0.000152,0.000152,0.000152
